"Family"	"Name"	"Wild"	"Status"	"Rarity"	"Type"
"Cannabaceae"	"Cannabaceae sp."	"Wild"	"Native"	1	"multispecies"
"Cannabaceae"	"Cannabis sativa"	"Introduced"	"Incidental import"	3	"species"
"Cannabaceae"	"Cannabis sp."	"Introduced"	"Incidental import"	3	"multispecies"
"Cannabaceae"	"Celtis australis"	"Introduced"	"Incidental import"	4	"species"
"Cannabaceae"	"Humulus lupulus"	"Wild"	"Native"	1	"species"
"Cannabaceae"	"Humulus scandens"	"Introduced"	"Incidental import"	4	"species"
"Cannabaceae"	"Humulus sp."	"Wild"	"Native"	1	"multispecies"
"Elaeagnaceae"	"Elaeagnaceae sp."	"Wild"	"Native"	2	"multispecies"
"Elaeagnaceae"	"Elaeagnus angustifolia"	"Wild"	"Naturalized"	3	"species"
"Elaeagnaceae"	"Elaeagnus macrophylla"	"Introduced"	"Incidental import"	4	"species"
"Elaeagnaceae"	"Elaeagnus multiflora"	"Introduced"	"Incidental import"	3	"species"
"Elaeagnaceae"	"Elaeagnus pungens"	"Introduced"	"Incidental import"	4	"species"
"Elaeagnaceae"	"Elaeagnus sp."	"Wild"	"Native"	3	"multispecies"
"Elaeagnaceae"	"Elaeagnus umbellata"	"Wild"	"Naturalized"	4	"species"
"Elaeagnaceae"	"Elaeagnus x submacrophylla (E. macrophylla x pungens)"	"Introduced"	"Incidental import"	3	"hybrid"
"Elaeagnaceae"	"Hippophae rhamnoides"	"Wild"	"Native"	2	"species"
"Elaeagnaceae"	"Hippophae rhamnoides subsp. fluviatilis"	"Introduced"	"Incidental import"	3	"subspecies"
"Elaeagnaceae"	"Hippophae rhamnoides subsp. rhamnoides"	"Wild"	"Native"	2	"subspecies"
"Elaeagnaceae"	"Hippophae sp."	"Wild"	"Native"	2	"multispecies"
"Moraceae"	"Broussonetia papyrifera"	"Introduced"	"Incidental import"	4	"species"
"Moraceae"	"Broussonetia sp."	"Introduced"	"Incidental import"	4	"multispecies"
"Moraceae"	"Ficus carica"	"Introduced"	"Incidental import"	3	"species"
"Moraceae"	"Ficus sp."	"Introduced"	"Incidental import"	3	"multispecies"
"Moraceae"	"Moraceae sp."	"Introduced"	"Incidental import"	3	"multispecies"
"Moraceae"	"Morus alba"	"Introduced"	"Incidental import"	4	"species"
"Moraceae"	"Morus nigra"	"Introduced"	"Incidental import"	3	"species"
"Moraceae"	"Morus sp."	"Introduced"	"Incidental import"	3	"multispecies"
"Rhamnaceae"	"Ceanothus sp."	"Introduced"	"Incidental import"	4	"multispecies"
"Rhamnaceae"	"Ceanothus x delilianus (C. americanus x coeruleus)"	"Introduced"	"Incidental import"	4	"hybrid"
"Rhamnaceae"	"Frangula alnus"	"Wild"	"Native"	1	"species"
"Rhamnaceae"	"Frangula sp."	"Wild"	"Native"	1	"multispecies"
"Rhamnaceae"	"Paliurus sp."	"Introduced"	"Incidental import"	4	"multispecies"
"Rhamnaceae"	"Paliurus spina-christi"	"Introduced"	"Incidental import"	4	"species"
